Erros,Acertos,NINT,TAPR,Épocas,Acurácia,EMQ
5,22,4,0.9,250000,81.48148148148148%,1.07824044466e-05
5,22,5,0.9,250000,81.48148148148148%,1.10600502279e-05
5,22,6,0.9,250000,81.48148148148148%,1.17940583647e-05
5,22,7,0.9,250000,81.48148148148148%,6.77653334454e-06
5,22,8,0.9,250000,81.48148148148148%,8.07528959941e-06
3,24,9,0.9,250000,88.88888888888889%,8.20757664848e-06
5,22,10,0.9,250000,81.48148148148148%,8.23366950007e-06
3,24,9,0.8,250000,88.88888888888889%,7.26467134379e-06
5,22,9,0.7,250000,81.48148148148148%,6.6344140829e-06
3,24,9,0.8,300000,88.88888888888889%,8.11772136045e-06
4,23,9,0.8,350000,85.18518518518519%,1.12285850109e-05
3,24,9,0.8,400000,88.88888888888889%,1.3022036655e-05
4,23,9,0.8,450000,85.18518518518519%,1.23400984998e-05
4,23,9,0.8,500000,85.18518518518519%,1.48874105367e-05
