Erros,Acertos,NINT,TAPR,Épocas,Acurácia,EMQ
0,288,4,0.8,300000,100.0%,3.14573292977e-08
0,288,8,0.8,200000,100.0%,4.13167083296e-08
0,288,7,0.8,200000,100.0%,4.03549807774e-08
0,288,4,0.8,200000,100.0%,5.0335699853e-08
0,288,4,0.8,250000,100.0%,3.95417700205e-08
0,288,4,0.8,350000,100.0%,2.67671864851e-08
0,288,4,0.8,400000,100.0%,2.34203426216e-08
0,288,4,0.9,300000,100.0%,2.75440275551e-08
0,288,4,0.9,400000,100.0%,2.05404182178e-08
0,288,4,0.7,400000,100.0%,2.72010676103e-08
0,288,5,0.7,400000,100.0%,2.58174405443e-08
0,288,6,0.7,400000,100.0%,2.4744802958e-08
0,288,7,0.7,400000,100.0%,2.19646547615e-08
0,288,8,0.7,400000,100.0%,2.25065011036e-08
0,288,9,0.7,400000,100.0%,1.99135829465e-08
0,288,10,0.7,400000,100.0%,2.5973427085e-08
