Erros,Acertos,NINT1,NINT2,TAPR,TAPR1,Épocas,Acurácia,EMQ
4,23,9,8,0.3,0.5,300000,85.18518518518519%,0.000635490328254
4,23,5,8,0.3,0.5,300000,85.18518518518519%,0.000635472904948
4,23,6,8,0.3,0.5,300000,85.18518518518519%,0.000637786173338
4,23,10,9,0.3,0.5,300000,85.18518518518519%,0.000634973957088
4,23,11,10,0.3,0.5,300000,85.18518518518519%,0.000633203482701
4,23,12,11,0.3,0.5,300000,85.18518518518519%,0.000630655790242
4,23,12,11,0.4,0.5,300000,85.18518518518519%,0.000630478323324
4,23,12,11,0.5,0.5,300000,85.18518518518519%,0.000630306706843
4,23,12,11,0.6,0.5,300000,85.18518518518519%,0.000630143916233
4,23,12,11,0.7,0.5,300000,85.18518518518519%,0.000629991945225
4,23,12,11,0.9,0.5,300000,85.18518518518519%,0.000629724325885
4,23,12,11,0.9,0.7,300000,85.18518518518519%,0.000627753948902
4,23,12,11,0.9,0.9,300000,85.18518518518519%,0.000627134775337
4,23,12,11,0.9,0.7,350000,85.18518518518519%,0.000625767377521
4,23,12,11,0.9,0.7,400000,85.18518518518519%,0.00064132029853
3,24,12,11,0.9,0.7,450000,88.88888888888889%,0.000592472221751
5,22,12,11,0.9,0.7,500000,81.48148148148148%,0.000640478178381
