Erros,Acertos,NINT1,NINT2,TAPR,TAPR1,Épocas,Acurácia,EMQ
0,288,7,5,0.5,0.7,300000,100.0%,9.49940205071e-06
0,288,5,5,0.5,0.7,300000,100.0%,5.61194998944e-06
0,288,3,5,0.5,0.7,300000,100.0%,5.87420370198e-06
0,288,4,5,0.5,0.7,300000,100.0%,1.9235289298e-05
0,288,10,5,0.5,0.7,300000,100.0%,7.87887275192e-06
0,288,8,5,0.5,0.7,300000,100.0%,7.43497999277e-06
0,288,9,5,0.5,0.7,300000,100.0%,6.23528050526e-06
0,288,10,6,0.5,0.7,300000,100.0%,5.89855443001e-06
0,288,10,7,0.5,0.7,300000,100.0%,5.90063690027e-06
0,288,10,8,0.5,0.7,300000,100.0%,6.16240896322e-06
0,288,10,9,0.6,0.7,300000,100.0%,5.53000385631e-06
0,288,10,9,0.6,0.8,300000,100.0%,4.9133370419e-06
0,288,10,9,0.8,0.7,300000,100.0%,5.15738997898e-06
0,288,10,9,0.7,0.3,300000,100.0%,1.19721194088e-05
0,288,10,9,0.7,0.6,300000,100.0%,6.12441631265e-06
0,288,10,9,0.7,0.9,300000,100.0%,4.25705099224e-06
0,288,10,9,0.7,0.9,400000,100.0%,3.05180828983e-06
0,288,10,9,0.7,0.9,500000,100.0%,2.3721415011e-06
0,288,3,5,0.2,0.3,250000,100.0%,2.02153887354e-05
76,212,1,1,0.1,0.2,250000,73.61111111111111%,0.0971597574785
