Erros,Acertos,NINT,TAPR,Épocas,Acurácia,EMQ
0,288,5,0.9,200000,100.0%,2.36135420191e-05
0,288,6,0.9,200000,100.0%,2.28954743804e-05
0,288,7,0.9,200000,100.0%,1.96550242278e-05
0,288,8,0.9,200000,100.0%,2.27301630096e-05
0,288,9,0.9,200000,100.0%,2.91739465086e-05
0,288,10,0.9,200000,100.0%,1.97753536719e-05
0,288,7,0.8,200000,100.0%,2.25582113556e-05
0,288,7,0.9,200000,100.0%,1.96550242278e-05
0,288,7,0.9,250000,100.0%,1.51588078307e-05
0,288,7,0.9,300000,100.0%,1.22827358663e-05
0,288,7,0.9,400000,100.0%,8.87645024959e-06
0,288,7,0.9,500000,100.0%,6.91437252803e-06
0,288,7,0.9,600000,100.0%,5.651484333e-06
