DiaInicio;MesInicio;AnoInicio;DiaFinal;MesFinal;AnoFinal;Hidraulica;Termica;CARGA;EARM;ENA;Pesado;Medio;Leve
1;1;2002;4;1;2002;1948.43;0.00;1263.29;40.71;96.00;4.00;4.00;4.00
5;1;2002;11;1;2002;3616.14;0.00;2265.14;51.03;114.29;4.00;4.00;4.00
12;1;2002;18;1;2002;3631.14;0.00;2373.43;61.24;139.71;4.00;4.00;4.00
19;1;2002;25;1;2002;3262.00;0.00;2369.00;68.41;162.86;4.00;4.00;4.00
26;1;2002;1;2;2002;3256.86;0.00;2428.14;70.84;170.43;4.19;4.19;4.19
2;2;2002;8;2;2002;3549.00;0.00;2474.43;71.65;120.86;5.17;5.17;5.17
9;2;2002;15;2;2002;3453.71;0.00;2451.00;73.05;124.29;4.19;4.19;4.19
16;2;2002;22;2;2002;3449.29;0.00;2558.14;73.81;134.29;4.00;4.00;4.00
23;2;2002;28;2;2002;2978.71;0.00;2209.43;75.07;134.33;4.49;4.49;4.49
1;3;2002;1;3;2002;539.00;0.00;376.43;75.31;98.00;4.49;4.49;4.49
2;3;2002;8;3;2002;3417.86;0.00;2497.00;75.77;97.00;4.00;4.00;4.00
9;3;2002;15;3;2002;3457.86;0.00;2541.71;76.09;96.57;4.88;4.88;4.88
16;3;2002;22;3;2002;3598.71;0.00;2570.00;76.41;95.86;7.32;7.32;7.32
23;3;2002;29;3;2002;3731.43;0.00;2539.00;77.58;94.86;7.04;7.04;7.04
30;3;2002;5;4;2002;3607.43;0.00;2556.43;78.05;102.29;6.17;6.17;6.17
6;4;2002;12;4;2002;3572.86;0.00;2569.00;78.29;102.00;5.72;5.72;5.72
13;4;2002;19;4;2002;3263.00;0.00;2577.57;78.38;98.71;8.71;8.71;8.71
20;4;2002;26;4;2002;3406.86;0.00;2598.43;78.44;96.71;8.75;8.75;8.75
27;4;2002;3;5;2002;3410.14;0.00;2566.57;75.00;93.57;20.57;20.09;20.03
4;5;2002;10;5;2002;3402.00;0.00;2605.86;73.62;90.00;27.19;25.24;24.87
11;5;2002;17;5;2002;3589.71;0.00;2575.00;73.69;82.57;4.00;4.00;4.00
18;5;2002;24;5;2002;3647.43;0.00;2586.00;73.97;74.29;4.13;4.13;4.13
25;5;2002;31;5;2002;3521.29;0.00;2547.71;74.20;69.00;4.00;4.00;4.00
1;6;2002;7;6;2002;3636.14;0.00;2585.43;74.24;99.86;5.57;5.57;5.57
8;6;2002;14;6;2002;3810.86;0.00;2598.00;73.96;83.43;7.69;7.69;4.70
15;6;2002;21;6;2002;3880.00;0.00;2608.00;73.40;77.29;7.73;7.73;6.17
22;6;2002;28;6;2002;3681.57;0.00;2601.57;72.07;76.86;7.61;7.61;4.00
29;6;2002;5;7;2002;3765.14;0.00;2613.86;69.96;81.00;15.89;15.89;15.01
6;7;2002;12;7;2002;3787.43;0.00;2599.57;67.19;85.29;17.52;17.52;8.15
13;7;2002;19;7;2002;3675.14;0.00;2607.29;64.50;83.00;17.35;11.88;11.12
20;7;2002;26;7;2002;3694.86;0.00;2592.29;61.82;81.57;15.59;15.59;6.69
27;7;2002;2;8;2002;3569.86;0.00;2615.57;59.07;88.14;14.83;14.71;14.61
3;8;2002;9;8;2002;3430.43;0.00;2602.43;55.89;96.71;13.52;13.52;12.92
10;8;2002;16;8;2002;3276.86;0.00;2627.71;52.49;89.43;9.51;9.44;9.39
17;8;2002;23;8;2002;3335.57;0.00;2681.86;49.03;81.14;10.21;10.11;9.99
24;8;2002;30;8;2002;3346.43;0.00;2656.71;44.63;77.14;12.11;11.80;11.79
31;8;2002;6;9;2002;3184.29;0.00;2622.14;40.95;79.29;5.93;5.93;5.86
7;9;2002;13;9;2002;3156.29;0.00;2625.71;37.53;84.14;5.87;5.81;5.65
14;9;2002;20;9;2002;3008.86;0.00;2590.57;34.28;83.71;5.54;5.54;5.54
21;9;2002;27;9;2002;3128.86;0.00;2631.57;30.85;81.43;4.93;4.87;4.83
28;9;2002;4;10;2002;2952.86;0.00;2645.00;27.29;78.00;4.00;4.00;4.00
5;10;2002;11;10;2002;2900.29;0.00;2642.14;24.53;79.43;4.00;4.00;4.00
12;10;2002;18;10;2002;2938.14;0.00;2636.57;21.51;83.71;4.06;4.00;4.00
19;10;2002;25;10;2002;2947.57;0.00;2636.86;296.44;78.14;4.67;4.66;4.55
26;10;2002;1;11;2002;2549.29;0.00;2614.29;15.82;73.43;6.77;6.59;6.59
2;11;2002;8;11;2002;2708.86;0.00;2652.00;13.84;55.86;6.87;6.71;6.71
9;11;2002;15;11;2002;2513.86;0.00;2663.43;12.28;60.29;6.00;5.85;5.64
16;11;2002;22;11;2002;2106.43;0.00;2653.14;10.73;65.14;6.05;5.88;5.88
23;11;2002;29;11;2002;1890.57;0.00;2679.57;9.65;66.00;7.44;7.44;6.18
30;11;2002;6;12;2002;1708.43;0.00;2659.00;8.93;39.14;5.84;5.84;5.84
7;12;2002;13;12;2002;1431.71;0.00;2577.29;8.73;34.71;7.27;7.27;6.97
14;12;2002;20;12;2002;1681.14;0.00;2591.86;9.05;39.29;9.61;9.61;9.21
21;12;2002;27;12;2002;1959.86;0.00;2567.00;10.57;46.29;4.01;4.01;4.01
28;12;2002;3;1;2003;2321.86;0.00;2575.86;11.89;49.86;4.00;4.00;4.00
4;1;2003;10;1;2003;2428.71;0.00;2666.29;15.32;55.29;5.29;5.25;5.19
11;1;2003;17;1;2003;2527.00;0.00;2649.00;19.66;60.14;4.00;4.00;4.00
18;1;2003;24;1;2003;2528.14;0.00;2550.29;23.43;59.00;4.12;4.09;4.01
25;1;2003;31;1;2003;2669.71;0.00;2606.71;29.60;62.57;4.00;4.00;4.00
1;2;2003;7;2;2003;2967.43;0.00;2643.71;39.73;74.29;4.00;4.00;4.00
8;2;2003;14;2;2003;3303.00;0.00;2655.57;48.68;70.29;4.00;4.00;4.00
15;2;2003;21;2;2003;3382.14;0.00;2688.14;58.67;67.00;4.00;4.00;4.00
22;2;2003;28;2;2003;3176.43;0.00;2753.86;69.93;70.71;4.00;4.00;4.00
1;3;2003;7;3;2003;3223.57;0.00;2687.00;74.76;88.43;4.00;4.00;4.00
8;3;2003;14;3;2003;3480.14;0.00;2738.00;76.81;84.71;4.00;4.00;4.00
15;3;2003;21;3;2003;3352.29;0.00;2682.14;78.95;84.86;4.00;4.00;4.00
22;3;2003;28;3;2003;3403.57;0.00;2723.86;80.01;87.43;4.00;4.00;4.00
29;3;2003;31;3;2003;1450.43;0.00;1147.29;80.38;90.00;4.00;4.00;4.00
