Erros,Acertos,NINT,TAPR,Épocas,Acurácia,EMQ
45,258,4,0.8,300000,85.14851485148515%,2.0279268554e-05
43,232,8,0.8,200000,84.36363636363636%,0.000177706170931
40,233,7,0.8,200000,85.34798534798534%,0.000333464326125
41,234,4,0.8,200000,85.0909090909091%,0.000181963989326
46,249,4,0.8,250000,84.40677966101696%,5.94065997841e-05
45,258,4,0.8,300000,85.14851485148515%,2.0279268554e-05
39,244,4,0.8,350000,86.21908127208481%,8.50367421637e-06
37,252,4,0.8,400000,87.19723183391004%,2.81794955843e-06
46,257,4,0.9,300000,84.81848184818482%,1.87907117154e-05
42,247,4,0.9,400000,85.46712802768167%,9.64067523726e-06
36,254,4,0.7,400000,87.58620689655172%,2.62560985272e-06
39,253,5,0.7,400000,86.64383561643835%,1.1655541296e-05
40,255,6,0.7,400000,86.4406779661017%,6.35635353186e-06
34,246,7,0.7,400000,87.85714285714286%,9.76635597111e-06
31,249,8,0.7,400000,88.92857142857142%,7.98208670771e-06
26,254,9,0.7,400000,90.71428571428571%,2.62753256135e-06
27,251,10,0.7,400000,90.28776978417267%,7.80691893032e-06
