Erros,Acertos,NINT,TAPR,Épocas,Acurácia,EMQ
52,213,5,0.9,200000,80.37735849056604%,0.145377716588
51,214,6,0.9,200000,80.75471698113208%,0.145417402245
46,208,7,0.9,200000,81.88976377952756%,0.167777762053
59,203,8,0.9,200000,77.48091603053436%,0.155092177935
53,212,9,0.9,200000,80.0%,0.151108908594
48,214,10,0.9,200000,81.67938931297711%,0.159929832591
51,214,11,0.9,200000,80.75471698113208%,0.144988036575
52,208,12,0.9,200000,80.0%,0.173851837531
50,218,7,0.8,200000,81.34328358208955%,0.14695550535
48,223,7,0.7,200000,82.28782287822878%,0.132195598183
44,251,7,0.7,250000,85.08474576271186%,0.0975498141868
43,256,7,0.7,300000,85.61872909698997%,0.0944488529764
43,237,7,0.7,350000,84.64285714285714%,0.112115691237
38,249,7,0.7,400000,86.7595818815331%,0.10379056686
31,252,7,0.7,450000,89.04593639575971%,0.111521164898
30,251,7,0.7,500000,89.32384341637011%,0.113755724866
42,225,7,0.7,550000,84.26966292134831%,0.145008817114
40,223,7,0.7,600000,84.79087452471484%,0.154978715826
