Erros,Acertos,NINT,TAPR,Épocas,Acurácia,EMQ
62,226,4,0.8,400000,78.47222222222221%,2.39998017485e-06
60,228,4,0.7,400000,79.16666666666666%,2.46317914793e-06
64,224,7,0.7,400000,77.77777777777779%,1.56894151498e-05
66,222,8,0.7,400000,77.08333333333334%,3.51280529936e-06
76,212,9,0.7,400000,73.61111111111111%,8.40218866204e-07
75,213,10,0.7,400000,73.95833333333334%,2.77578654804e-06
57,231,4,0.8,350000,80.20833333333334%,1.6624669661e-06
65,223,5,0.7,400000,77.43055555555556%,1.68539917757e-05
60,228,6,0.7,400000,79.16666666666666%,2.74494041272e-06
58,230,4,0.8,300000,79.86111111111111%,2.06301355383e-06
60,228,8,0.8,200000,79.16666666666666%,1.49211081853e-06
59,229,7,0.8,200000,79.51388888888889%,2.29723535034e-05
61,227,4,0.8,200000,78.81944444444444%,1.56647960092e-05
60,228,4,0.8,250000,79.16666666666666%,8.78733835505e-06
58,230,4,0.8,300000,79.86111111111111%,2.06301355383e-06
60,228,4,0.9,300000,79.16666666666666%,1.65258485572e-06
64,224,4,0.9,400000,77.77777777777779%,2.64850785401e-06
57,231,4,0.9,350000,80.20833333333334%,1.888010562e-06
