Erros,Acertos,NINT1,NINT2,TAPR,TAPR1,Épocas,Acurácia,EMQ
86,202,7,5,0.5,0.7,300000,70.13888888888889%,0.0978171636443
78,210,5,5,0.5,0.7,300000,72.91666666666666%,0.0875779330859
68,220,3,5,0.5,0.7,300000,76.38888888888889%,0.0858135088046
83,205,4,5,0.5,0.7,300000,71.18055555555556%,0.095069042716
71,217,10,5,0.5,0.7,300000,75.34722222222221%,0.0900951214196
77,211,8,5,0.5,0.7,300000,73.26388888888889%,0.0882745753317
75,213,9,5,0.5,0.7,300000,73.95833333333334%,0.0967457738652
73,215,10,6,0.5,0.7,300000,74.65277777777779%,0.0970827215211
76,212,10,7,0.5,0.7,300000,73.61111111111111%,0.102141099406
70,218,10,8,0.5,0.7,300000,75.69444444444444%,0.100702788349
75,213,10,9,0.5,0.7,300000,73.95833333333334%,0.102096170931
70,218,10,10,0.5,0.7,300000,75.69444444444444%,0.101490012699
76,212,10,9,0.6,0.7,300000,73.61111111111111%,0.100518326054
78,210,10,9,0.7,0.7,300000,72.91666666666666%,0.104668634804
74,214,10,9,0.8,0.7,300000,74.30555555555556%,0.101707334441
82,206,10,9,0.9,0.7,300000,71.52777777777779%,0.10601221517
61,227,10,9,0.7,0.3,300000,78.81944444444444%,0.0800976667894
74,214,10,9,0.7,0.4,300000,74.30555555555556%,0.0836469269091
67,221,10,9,0.7,0.5,300000,76.73611111111111%,0.0801615517276
75,213,10,9,0.7,0.6,300000,73.95833333333334%,0.0993109159935
69,219,10,9,0.7,0.8,300000,76.04166666666666%,0.103121634432
70,218,10,9,0.7,0.9,300000,75.69444444444444%,0.101019700351
62,226,10,9,0.7,0.3,350000,78.47222222222221%,0.0779805921044
65,223,10,9,0.7,0.3,400000,77.43055555555556%,0.0793441557276
70,218,10,9,0.7,0.3,450000,75.69444444444444%,0.0845374107167
